PERMNO,date,TICKER,PRC,SHROUT
11850,2004-05-11,XOM,42.60000,6540000
11850,2004-05-12,XOM,43.00000,6540000
11850,2004-05-13,XOM,42.73000,6540000
11850,2004-05-14,XOM,43.27000,6540000
11850,2004-05-17,XOM,43.05000,6540000
11850,2004-05-18,XOM,42.69000,6540000
11850,2004-05-19,XOM,42.60000,6540000
11850,2004-05-20,XOM,42.73000,6540000
11850,2004-05-21,XOM,42.60000,6540000
11850,2004-05-24,XOM,42.80000,6540000
11850,2004-05-25,XOM,43.82000,6540000
11850,2004-05-26,XOM,43.55000,6540000
11850,2004-05-27,XOM,43.37000,6540000
11850,2004-05-28,XOM,43.25000,6540046
11850,2004-06-01,XOM,43.70000,6540046
11850,2004-06-02,XOM,43.78000,6540046
11850,2004-06-03,XOM,43.55000,6540046
11850,2004-06-04,XOM,43.37000,6540046
11850,2004-06-07,XOM,44.00000,6540046
11850,2004-06-08,XOM,43.89000,6540046
11850,2004-06-09,XOM,43.45000,6540046
11850,2004-06-10,XOM,43.98000,6540046
11850,2004-06-14,XOM,43.85000,6540046
11850,2004-06-15,XOM,44.08000,6540046
11850,2004-06-16,XOM,44.73000,6540046
11850,2004-06-17,XOM,44.77000,6540046
11850,2004-06-18,XOM,44.98000,6540046
11850,2004-06-21,XOM,44.73000,6540046
11850,2004-06-22,XOM,44.90000,6540046
11850,2004-06-23,XOM,45.46000,6540046
11850,2004-06-24,XOM,45.27000,6540046
11850,2004-06-25,XOM,44.25000,6540046
11850,2004-06-28,XOM,44.38000,6540046
11850,2004-06-29,XOM,44.57000,6540046
11850,2004-06-30,XOM,44.41000,6540046
11850,2004-07-01,XOM,44.59000,6540046
11850,2004-07-02,XOM,44.72000,6540046
11850,2004-07-06,XOM,45.10000,6540046
11850,2004-07-07,XOM,45.37000,6540046
11850,2004-07-08,XOM,45.32000,6540046
11850,2004-07-09,XOM,45.45000,6540046
11850,2004-07-12,XOM,45.44000,6540046
11850,2004-07-13,XOM,45.21000,6540046
11850,2004-07-14,XOM,45.46000,6540046
11850,2004-07-15,XOM,45.32000,6540046
11850,2004-07-16,XOM,45.83000,6540046
11850,2004-07-19,XOM,45.90000,6540046
11850,2004-07-20,XOM,45.90000,6540046
11850,2004-07-21,XOM,45.17000,6540046
11850,2004-07-22,XOM,45.39000,6540046
11850,2004-07-23,XOM,45.32000,6540046
11850,2004-07-26,XOM,45.33000,6540046
11850,2004-07-27,XOM,45.41000,6540046
11850,2004-07-28,XOM,45.81000,6540046
11850,2004-07-29,XOM,46.03000,6540046
11850,2004-07-30,XOM,46.30000,6540046
11850,2004-08-02,XOM,46.25000,6540046
11850,2004-08-03,XOM,46.89000,6540046
11850,2004-08-04,XOM,46.24000,6540046
11850,2004-08-05,XOM,45.83000,6540046
11850,2004-08-06,XOM,45.12000,6540046
11850,2004-08-09,XOM,45.56000,6540046
11850,2004-08-10,XOM,45.29000,6540046
11850,2004-08-11,XOM,45.13000,6540046
11850,2004-08-12,XOM,44.56000,6540046
11850,2004-08-13,XOM,44.92000,6540046
11850,2004-08-16,XOM,45.09000,6540046
11850,2004-08-17,XOM,44.36000,6540046
11850,2004-08-18,XOM,44.81000,6540046
11850,2004-08-19,XOM,45.09000,6540046
11850,2004-08-20,XOM,45.25000,6540046
11850,2004-08-23,XOM,44.99000,6540046
11850,2004-08-24,XOM,44.85000,6540046
11850,2004-08-25,XOM,45.19000,6540046
11850,2004-08-26,XOM,45.25000,6540046
11850,2004-08-27,XOM,45.44000,6540046
11850,2004-08-30,XOM,45.13000,6540046
11850,2004-08-31,XOM,46.10000,6505507
11850,2004-09-01,XOM,46.44000,6505507
11850,2004-09-02,XOM,46.98000,6505507
11850,2004-09-03,XOM,47.06000,6505507
11850,2004-09-07,XOM,47.15000,6505507
11850,2004-09-08,XOM,47.07000,6505507
11850,2004-09-09,XOM,47.48000,6505507
11850,2004-09-10,XOM,47.37000,6505507
11850,2004-09-13,XOM,47.50000,6505507
11850,2004-09-14,XOM,47.47000,6505507
11850,2004-09-15,XOM,47.43000,6505507
11850,2004-09-16,XOM,47.55000,6505507
11850,2004-09-17,XOM,48.37000,6505507
11850,2004-09-20,XOM,48.21000,6505507
11850,2004-09-21,XOM,49.49000,6505507
11850,2004-09-22,XOM,48.86000,6505507
11850,2004-09-23,XOM,47.76000,6505507
11850,2004-09-24,XOM,47.83000,6505507
11850,2004-09-27,XOM,47.96000,6505507
11850,2004-09-28,XOM,48.53000,6505507
11850,2004-09-29,XOM,48.15000,6505507
11850,2004-09-30,XOM,48.33000,6505507
11850,2004-10-01,XOM,48.89000,6505507
11850,2004-10-04,XOM,48.92000,6505507
11850,2004-10-05,XOM,49.32000,6505507
11850,2004-10-06,XOM,50.03000,6505507
11850,2004-10-07,XOM,49.74000,6505507
11850,2004-10-08,XOM,49.84000,6505507
11850,2004-10-11,XOM,49.79000,6505507
11850,2004-10-12,XOM,49.37000,6505507
11850,2004-10-13,XOM,48.48000,6505507
11850,2004-10-14,XOM,48.71000,6505507
11850,2004-10-15,XOM,49.02000,6505507
11850,2004-10-18,XOM,48.75000,6505507
11850,2004-10-19,XOM,48.31000,6505507
11850,2004-10-20,XOM,48.87000,6505507
11850,2004-10-21,XOM,48.81000,6505507
11850,2004-10-22,XOM,48.70000,6505507
11850,2004-10-25,XOM,48.81000,6505507
11850,2004-10-26,XOM,49.39000,6505507
11850,2004-10-27,XOM,48.95000,6505507
11850,2004-10-28,XOM,48.61000,6505507
11850,2004-10-29,XOM,49.22000,6505507
11850,2004-11-01,XOM,48.82000,6505507
11850,2004-11-02,XOM,48.43000,6505507
11850,2004-11-03,XOM,49.27000,6505507
11850,2004-11-04,XOM,50.19000,6505507
11850,2004-11-05,XOM,50.39000,6505507
11850,2004-11-08,XOM,50.17000,6505507
11850,2004-11-09,XOM,49.31000,6505507
11850,2004-11-10,XOM,49.67000,6505507
11850,2004-11-11,XOM,49.66000,6505507
11850,2004-11-12,XOM,50.42000,6505507
11850,2004-11-15,XOM,49.58000,6505507
11850,2004-11-16,XOM,49.41000,6505507
11850,2004-11-17,XOM,50.00000,6505507
11850,2004-11-18,XOM,50.05000,6505507
11850,2004-11-19,XOM,50.38000,6505507
11850,2004-11-22,XOM,50.91000,6505507
11850,2004-11-23,XOM,51.20000,6505507
11850,2004-11-24,XOM,51.49000,6505507
11850,2004-11-26,XOM,51.65000,6505507
11850,2004-11-29,XOM,51.37000,6505507
11850,2004-11-30,XOM,51.25000,6451296
11850,2004-12-01,XOM,51.15000,6451296
11850,2004-12-02,XOM,50.17000,6451296
11850,2004-12-03,XOM,50.27000,6451296
11850,2004-12-06,XOM,50.14000,6451296
11850,2004-12-07,XOM,49.70000,6451296
11850,2004-12-08,XOM,50.02000,6451296
11850,2004-12-09,XOM,50.32000,6451296
11850,2004-12-10,XOM,50.15000,6451296
11850,2004-12-13,XOM,50.67000,6451296
11850,2004-12-14,XOM,50.66000,6451296
11850,2004-12-15,XOM,50.51000,6451296
11850,2004-12-16,XOM,50.10000,6451296
11850,2004-12-17,XOM,49.80000,6451296
11850,2004-12-20,XOM,51.06000,6451296
11850,2004-12-21,XOM,51.69000,6451296
11850,2004-12-22,XOM,51.29000,6451296
11850,2004-12-23,XOM,51.97000,6451296
11850,2004-12-27,XOM,50.88000,6451296
11850,2004-12-28,XOM,51.05000,6451296
11850,2004-12-29,XOM,51.13000,6451296
11850,2004-12-30,XOM,51.03000,6451296
11850,2004-12-31,XOM,51.26000,6451296
11850,2005-01-03,XOM,50.09000,6451296
11850,2005-01-04,XOM,49.75000,6451296
11850,2005-01-05,XOM,49.49000,6451296
11850,2005-01-06,XOM,50.12000,6451296
11850,2005-01-07,XOM,49.79000,6451296
11850,2005-01-10,XOM,49.98000,6451296
11850,2005-01-11,XOM,49.85000,6451296
11850,2005-01-12,XOM,50.59000,6451296
11850,2005-01-13,XOM,50.55000,6451296
11850,2005-01-14,XOM,51.07000,6451296
11850,2005-01-18,XOM,51.50000,6451296
11850,2005-01-19,XOM,51.05000,6451296
11850,2005-01-20,XOM,50.72000,6451296
11850,2005-01-21,XOM,50.44000,6451296
11850,2005-01-24,XOM,51.13000,6451296
11850,2005-01-25,XOM,51.33000,6451296
11850,2005-01-26,XOM,51.70000,6451296
11850,2005-01-27,XOM,51.75000,6451296
11850,2005-01-28,XOM,51.27000,6451296
11850,2005-01-31,XOM,51.60000,6451296
11850,2005-02-01,XOM,53.27000,6451296
11850,2005-02-02,XOM,53.93000,6451296
11850,2005-02-03,XOM,54.52000,6451296
11850,2005-02-04,XOM,55.29000,6451296
11850,2005-02-07,XOM,55.40000,6451296
11850,2005-02-08,XOM,55.78000,6451296
11850,2005-02-09,XOM,55.54000,6451296
11850,2005-02-10,XOM,56.34000,6451296
11850,2005-02-11,XOM,56.11000,6451296
11850,2005-02-14,XOM,56.83000,6451296
11850,2005-02-15,XOM,56.92000,6451296
11850,2005-02-16,XOM,58.48000,6451296
11850,2005-02-17,XOM,58.13000,6451296
11850,2005-02-18,XOM,59.41000,6451296
11850,2005-02-22,XOM,58.25000,6451296
11850,2005-02-23,XOM,59.42000,6451296
